node_label,lon,lat,pop
2,32.07324798,-24.48927786,76
3,32.07324798,-24.4802947,67
4,32.08326776,-24.50724416,17
5,32.08326776,-24.49826101,48
6,32.08326776,-24.48927786,207
7,32.08326776,-24.4802947,162
8,32.08326776,-24.47131155,178
10,32.09328755,-24.60605884,6
11,32.09328755,-24.55215993,3
12,32.09328755,-24.52521047,5
13,32.09328755,-24.48927786,67
14,32.09328755,-24.4802947,16
15,32.09328755,-24.47131155,9
16,32.09328755,-24.4623284,23
17,32.09328755,-24.45334524,3
18,32.09328755,-24.44436209,33
19,32.10330734,-24.62402515,20
20,32.10330734,-24.615042,24
21,32.10330734,-24.60605884,100
22,32.10330734,-24.59707569,47
23,32.10330734,-24.48927786,34
24,32.10330734,-24.44436209,10
25,32.11332713,-24.74978929,5
26,32.11332713,-24.70487352,2
27,32.11332713,-24.68690722,11
28,32.11332713,-24.58809254,25
29,32.11332713,-24.48927786,74
30,32.11332713,-24.4802947,5
31,32.12334691,-24.7857219,20
32,32.12334691,-24.76775559,85
33,32.12334691,-24.75877244,30
34,32.12334691,-24.72283983,20
35,32.12334691,-24.66894091,5
36,32.12334691,-24.58809254,6
37,32.12334691,-24.51622731,5
38,32.12334691,-24.4802947,4
39,32.1333667,-24.7857219,64
40,32.1333667,-24.77673875,1
41,32.1333667,-24.76775559,107
42,32.1333667,-24.75877244,25
43,32.1333667,-24.74978929,3
44,32.1333667,-24.74080613,7
45,32.1333667,-24.72283983,1
46,32.1333667,-24.70487352,9
47,32.1333667,-24.57910938,20
48,32.1333667,-24.48927786,4
49,32.14338649,-24.8036882,7
50,32.14338649,-24.79470505,30
51,32.14338649,-24.7857219,16
52,32.14338649,-24.75877244,19
53,32.14338649,-24.57910938,5
54,32.15340627,-24.83063766,26
55,32.15340627,-24.81267136,51
56,32.15340627,-24.8036882,5
57,32.16342606,-24.83063766,20
58,32.16342606,-24.74080613,36
59,32.16342606,-24.73182298,42
60,32.16342606,-24.70487352,36
61,32.16342606,-24.69589037,11
62,32.17344585,-24.73182298,24
63,32.18346564,-24.83063766,17
64,32.18346564,-24.67792407,16
66,32.18346564,-24.48927786,13
67,32.18346564,-24.4802947,46
68,32.19348542,-24.83063766,6
69,32.19348542,-24.8036882,2
70,32.19348542,-24.79470505,1
71,32.19348542,-24.76775559,7
73,32.19348542,-24.48927786,45
74,32.19348542,-24.4802947,28
75,32.19348542,-24.47131155,29
76,32.19348542,-24.45334524,5
77,32.20350521,-24.83962082,4
78,32.20350521,-24.76775559,5
79,32.20350521,-24.74080613,4
80,32.20350521,-24.49826101,18
81,32.20350521,-24.48927786,21
82,32.20350521,-24.47131155,10
83,32.20350521,-24.4623284,91
84,32.20350521,-24.45334524,15
86,32.213525,-24.8036882,7
87,32.213525,-24.79470505,24
88,32.213525,-24.7857219,1
89,32.213525,-24.74978929,6
90,32.213525,-24.74080613,27
91,32.213525,-24.53419362,1
92,32.213525,-24.49826101,14
93,32.213525,-24.48927786,8
94,32.22354478,-24.8036882,13
95,32.22354478,-24.76775559,4
96,32.22354478,-24.53419362,3
97,32.22354478,-24.49826101,78
98,32.22354478,-24.48927786,8
99,32.23356457,-24.85758712,31
100,32.23356457,-24.79470505,7
101,32.23356457,-24.55215993,4
102,32.23356457,-24.53419362,19
103,32.23356457,-24.50724416,5
104,32.23356457,-24.49826101,50
105,32.24358436,-24.86657027,2
106,32.24358436,-24.85758712,2
107,32.25360415,-24.87555343,44
108,32.25360415,-24.86657027,10
109,32.25360415,-24.85758712,12
